class,top1_correct,top3_correct,total,top1_accuracy,top3_accuracy
BEANS,4,4,5,0.8,0.8
CAKE,3,2,5,0.6,0.4
CANDY,1,1,5,0.2,0.2
CEREAL,3,2,5,0.6,0.4
CHIPS,4,4,5,0.8,0.8
CHOCOLATE,4,4,5,0.8,0.8
COFFEE,5,5,5,1.0,1.0
CORN,5,5,5,1.0,1.0
FISH,0,0,5,0.0,0.0
FLOUR,5,5,5,1.0,1.0
HONEY,5,5,5,1.0,1.0
JAM,3,3,5,0.6,0.6
JUICE,3,3,5,0.6,0.6
MILK,5,5,5,1.0,1.0
NUTS,2,2,5,0.4,0.4
OIL,5,5,5,1.0,1.0
PASTA,3,3,5,0.6,0.6
RICE,5,5,5,1.0,1.0
SODA,1,1,5,0.2,0.2
SPICES,1,1,5,0.2,0.2
SUGAR,4,4,5,0.8,0.8
TEA,4,4,5,0.8,0.8
TOMATO_SAUCE,0,0,5,0.0,0.0
VINEGAR,4,4,5,0.8,0.8
WATER,5,5,5,1.0,1.0
